participant_id,user_id,prolific_id,condition_order,failed_attention_check,exclude,likert_pre_lesson1,likert_mid_lesson1,likert_post_lesson1,likert_pre_lesson2,likert_mid_lesson2,likert_post_lesson2,likert_pre_lesson3,likert_mid_lesson3,likert_post_lesson3,likert_pre_lesson4,likert_mid_lesson4,likert_post_lesson4,likert_pre_condition1,likert_mid_condition1,likert_post_condition1,likert_pre_condition2,likert_mid_condition2,likert_post_condition2,likert_pre_condition3,likert_mid_condition3,likert_post_condition3,likert_pre_condition4,likert_mid_condition4,likert_post_condition4
11,10,674d7a89f564e8bbe0a7af1c,"3,0,2,1",1,1,1,13,12,13,12,12,13,13,12,15,15,15,13,12,12,15,15,15,13,13,12,1,13,12
12,11,68277ee28504bc466e88db4c,"0,1,3,2",0,0,11,12,9,12,15,12,15,15,15,15,15,15,11,12,9,12,15,12,15,15,15,15,15,15
13,12,6834c332b2178abf4237097c,"1,2,0,3",0,0,15,15,11,15,12,5,15,15,15,1,5,1,15,15,15,15,15,11,15,12,5,1,5,1
14,13,68290276545487fcb5250cd4,"2,3,1,0",0,0,15,13,14,14,13,14,14,13,13,13,15,14,13,15,14,14,13,13,15,13,14,14,13,14
15,14,66620b15d94e5cb49f62db0b,"3,0,2,1",0,0,13,14,13,14,11,8,14,14,8,15,12,14,14,11,8,15,12,14,14,14,8,13,14,13
16,15,67d390ad6655208f29df0d42,"0,1,3,2",0,0,13,14,13,10,15,8,15,13,12,15,12,12,13,14,13,10,15,8,15,12,12,15,13,12
17,16,673741d5e8999c8a575d36b1,"1,2,0,3",0,0,13,12,8,9,10,14,11,10,9,14,15,15,11,10,9,13,12,8,9,10,14,14,15,15
18,25,61071fd777b179d8bc84ed3f,"2,3,1,0",0,0,15,15,8,11,8,8,15,15,8,15,15,8,15,15,8,15,15,8,15,15,8,11,8,8
19,26,682f47a03095562bd581bd06,"3,0,2,1",1,1,14,15,14,12,11,11,14,14,13,15,15,15,12,11,11,15,15,15,14,14,13,14,15,14
20,27,5640c3ff074be600115e9e40,"0,1,3,2",0,0,11,11,10,13,13,13,13,14,14,15,15,15,11,11,10,13,13,13,15,15,15,13,14,14
21,28,682cd328bd53185cbbb59840,"1,2,0,3",0,0,14,15,13,14,,10,14,14,13,15,14,15,14,14,13,14,15,13,14,,10,15,14,15
23,30,66abb1aea71eb1802eac060f,"3,0,2,1",0,0,13,13,10,10,10,6,12,15,10,15,15,13,10,10,6,15,15,13,12,15,10,13,13,10
24,31,67a7cee40b175c5c1991bbb1,"0,1,3,2",0,0,15,15,11,5,11,11,15,15,15,15,15,15,15,15,11,5,11,11,15,15,15,15,15,15
